Partno,Judgement2,Crown_Jewel,Cushion_Couch,Torch_Olympic,Force_Air,Jump_Leap,Strap_Buckle,Politics_Government,Calf_Cow,Rain_Wet,Sack_Bag,Cheese_Bread,Cape_Coat,Cook_Kitchen,Asia_Africa,There_Here,Brother_Sister,Adolescent_Juvenile,Harp - Piano,Bath_Soap,Brown_Green,Surgery_Blood
1,semantic,6,8,6,5,7,5,5,5,5,5,5,5,5,5,5,5,8,6,5,5,5
2,semantic,,,,,,,,,,,,,,,,,,,,,
3,semantic,,50,80,100,100,,,60,100,60,,,100,,,100,50,,100,50,
4,semantic,47,40,80,61,70,56,70,65,75,40,45,30,80,45,73,85,45,45,80,68,85
5,semantic,90,80,40,99,80,60,90,99,90,80,70,85,80,60,99,99,70,70,70,20,99
6,semantic,30,50,30,2,60,45,80,50,30,25,10,2,25,5,10,90,90,0,80,0,30
7,semantic,90,60,60,50,100,80,80,90,90,80,20,70,70,20,40,80,40,40,90,40,50
8,semantic,10,50,0,5,100,50,80,90,35,100,50,80,0,70,90,95,65,70,20,80,10
9,semantic,82,54,94,32,84,88,84,95,90,23,22,12,98,19,50,98,82,23,72,0,0
10,semantic,30,60,50,10,80,60,70,60,40,60,20,50,50,60,50,70,70,50,30,80,30
11,semantic,30,40,80,30,90,70,100,100,100,90,40,90,90,100,90,100,100,100,90,50,80
12,semantic,60,100,100,20,100,100,100,50,100,60,50,100,100,50,100,50,50,80,100,0,50
13,semantic,100,100,100,50,50,100,25,100,50,100,100,50,100,25,50,100,20,50,100,25,20
14,semantic,85,75,100,80,95,65,100,25,100,50,50,20,100,50,32,100,100,95,95,20,100
15,semantic,70,60,40,10,80,60,90,100,100,60,20,60,100,50,40,90,80,60,50,20,80
16,semantic,50,70,70,40,90,80,80,90,80,90,60,80,80,90,50,80,90,80,70,95,70
17,semantic,99,80,100,99,80,80,90,99,50,100,100,95,100,75,100,100,99,50,95,50,100
18,semantic,50,55,55,55,60,40,60,45,45,40,10,40,65,45,50,75,65,15,55,10,20
19,semantic,80,80,90,80,95,95,90,90,100,90,85,65,85,85,80,90,95,75,95,50,80
20,semantic,80,70,70,40,60,70,90,90,90,75,40,60,80,90,70,90,90,60,90,80,50
21,semantic,,,,,,,,,,,,,,,,,,,,,
22,semantic,60,80,30,20,90,65,100,100,99,80,30,50,76,30,10,50,90,34,25,20,70
23,semantic,60,60,55,10,10,10,50,10,90,60,30,50,10,2,50,80,80,5,15,20,80
24,semantic,80,80,80,20,100,80,90,80,90,100,70,75,80,50,90,90,100,50,80,90,30
25,semantic,80,35,75,30,95,75,95,80,40,80,30,65,90,90,25,65,90,70,40,20,40
26,semantic,45,35,5,12,80,15,50,80,45,70,5,75,15,35,2,75,80,75,30,15,15
27,semantic,,,,,,,,,,,,,,,,,,,,,
28,semantic,80,80,80,60,90,90,80,90,90,95,70,70,90,90,80,90,60,90,90,90,90
29,semantic,80,80,90,50,80,87,90,80,50,80,60,30,90,20,50,90,80,45,80,50,70
30,semantic,75,80,80,90,60,75,90,70,80,80,85,90,70,60,95,95,95,80,80,50,70
31,semantic,80,80,45,45,95,60,90,90,86,75,30,45,75,80,60,80,90,80,85,90,55
32,semantic,77,78,98,35,80,56,70,78,85,67,12,66,88,76,97,89,88,45,78,35,67
33,semantic,70,90,70,20,100,95,100,100,100,100,30,75,50,40,60,70,100,60,100,30,100
34,semantic,60,40,90,10,90,90,50,90,90,90,30,50,50,80,40,60,80,50,90,30,50
35,semantic,,,,,,,,,,,,,,,,,,,,,
36,semantic,20,80,20,20,85,60,100,95,90,90,30,40,90,10,60,90,95,60,85,40,10
37,semantic,84,85,70,65,70,70,75,80,80,75,85,50,80,80,70,78,80,70,75,80,80
38,semantic,70,80,20,30,40,70,80,80,30,20,40,30,80,40,40,50,40,50,40,80,50
39,semantic,45,20,75,25,45,20,20,3525,50,80,25,25,65,30,15,95,75,15,80,15,80
40,semantic,85,75,75,80,75,90,100,100,90,90,75,50,80,100,100,,50,50,50,100,75
41,semantic,15,10,20,25,90,45,95,55,85,90,5,75,15,7,75,95,80,20,15,5,30
42,semantic,90,80,80,80,95,70,90,90,90,95,80,80,90,80,90,95,95,70,90,85,90
43,semantic,100,100,100,100,0,100,100,100,100,100,100,100,90,90,90,100,90,100,100,90,90
44,semantic,,,,,,,,,,,,,,,,,,,,,
45,semantic,90,90,25,75,80,75,95,90,90,80,50,10,95,40,90,95,90,50,80,10,75
46,associative,10,33,50,5,70,15,65,75,55,25,40,20,70,15,20,80,30,10,75,10,25
47,associative,100,50,100,30,30,50,100,100,100,30,20,30,100,50,100,30,50,30,30,30,30
48,associative,80,10,100,10,100,100,100,100,50,90,10,50,100,0,90,100,90,0,70,0,10
49,associative,50,30,50,30,50,30,50,20,60,50,50,20,50,30,80,80,30,50,30,20,20
50,associative,90,70,80,10,40,60,90,90,50,60,40,20,50,10,90,95,50,20,40,20,40
51,associative,90,95,85,70,90,99,90,90,95,,90,90,95,90,80,95,9,90,90,96,90
52,associative,90,90,70,60,90,60,100,90,95,95,50,70,95,30,90,80,100,50,90,50,75
53,associative,100,50,50,50,100,50,50,50,50,50,50,50,50,50,50,100,100,50,50,50,50
54,associative,90,60,90,50,60,80,80,80,95,90,80,60,70,40,40,80,70,20,90,50,70
55,associative,80,70,90,90,80,70,100,70,90,50,80,60,80,90,90,90,70,60,90,80,60
56,associative,100,0,0,100,0,0,100,0,0,100,100,0,100,100,100,100,0,100,100,100,100
57,associative,40,50,60,70,90,60,100,100,100,100,70,80,90,10,60,60,60,30,70,0,50
58,associative,90,90,90,90,90,90,95,95,95,95,45,75,90,95,95,98,95,40,90,5,90
59,associative,80,70,60,80,80,80,80,60,50,70,90,50,80,20,30,60,40,10,80,10,80
60,associative,100,100,100,100,100,100,100,50,50,50,100,100,50,100,100,50,50,50,100,50,100
61,associative,50,70,70,50,50,50,80,70,70,80,60,40,60,5,80,60,40,50,50,10,60
62,associative,85,95,70,60,85,60,90,90,100,90,85,4,98,2,100,100,97,8,95,2,100
63,associative,100,100,50,100,80,100,100,100,100,100,90,100,100,70,100,100,70,90,100,80,100
64,associative,25,75,50,50,75,75,75,25,75,75,50,75,25,50,75,75,50,5,25,50,50
65,associative,100,100,100,80,100,100,100,100,100,100,,100,100,100,100,100,100,80,100,100,100
66,associative,90,80,80,80,80,85,90,80,100,70,95,80,95,80,85,100,70,85,100,50,80
67,associative,80,80,40,90,60,40,100,30,90,60,50,60,90,90,100,100,60,50,90,30,80
68,associative,100,100,100,100,90,100,100,100,100,100,100,100,100,50,80,100,60,100,100,70,100
69,associative,85,100,25,85,75,85,100,85,85,100,100,50,100,100,100,100,75,20,100,100,50
70,thematic,100,100,100,100,100,50,100,100,100,50,50,50,50,50,100,100,100,50,10,100,100
71,thematic,100,80,100,35,20,75,100,65,60,60,100,40,100,100,50,100,30,20,60,100,85
72,thematic,100,100,100,50,100,100,100,100,100,100,100,100,100,75,100,100,100,80,75,100,100
73,thematic,100,100,100,0,100,100,100,100,100,100,0,0,100,0,100,100,100,0,0,100,0
74,thematic,60,60,50,50,60,60,50,60,55,50,30,55,50,35,30,30,50,30,20,50,60
75,thematic,100,100,90,50,100,90,100,100,100,100,70,80,100,100,100,100,100,100,100,90,90
76,thematic,100,100,90,0,100,100,100,100,100,100,50,75,100,0,100,100,100,40,0,70,100
77,thematic,100,100,100,100,100,100,100,100,100,100,100,60,100,100,100,100,100,100,100,100,100
78,thematic,100,80,90,100,90,,100,100,100,90,50,75,90,25,75,75,100,50,50,90,90
79,thematic,85,80,100,60,90,65,100,90,100,90,65,55,100,90,90,100,100,75,100,80,100
80,thematic,95,85,90,95,100,90,95,95,100,100,80,90,100,70,85,98,100,75,50,95,95
81,thematic,32,76,70,31,85,89,89,100,75,49,2,60,34,50,100,100,99,60,50,88,40
82,thematic,50,50,50,40,70,100,90,80,80,80,50,50,90,80,80,80,80,50,50,80,80
83,thematic,80,100,90,30,100,100,100,100,100,100,50,50,100,20,50,100,100,50,10,100,1
84,thematic,,,,,,,,,,,,,,,,,,,,,
85,thematic,70,80,40,50,70,90,60,90,90,90,60,0,90,0,80,70,50,30,0,90,80
86,thematic,100,100,100,50,100,100,100,0,100,100,10,50,100,50,100,100,100,0,0,100,100
87,thematic,85,85,95,25,95,90,95,90,90,90,75,25,80,10,10,80,100,20,25,90,80
88,thematic,60,100,100,70,100,80,100,100,100,100,50,30,100,60,50,100,100,50,20,100,100
89,thematic,100,100,100,90,100,100,100,90,100,100,100,60,100,100,70,100,100,100,100,100,100
90,thematic,99,95,100,25,75,65,99,100,100,65,69,55,100,0,85,95,85,50,50,100,100
91,thematic,80,90,75,60,95,70,95,95,80,95,90,90,95,80,70,100,90,80,95,90,80
92,thematic,87,99,95,90,96,85,97,94,100,100,67,64,91,55,75,90,95,65,30,92,80
93,thematic,100,100,100,100,100,100,100,100,100,100,50,50,100,75,100,100,100,100,100,100,100
94,thematic,100,100,100,100,100,100,100,100,100,100,0,100,100,100,0,0,100,0,1,100,100
95,thematic,90,80,75,10,85,50,90,95,100,90,5,50,90,20,40,80,100,10,2,95,80
96,thematic,70,80,80,85,95,85,95,100,95,95,70,80,95,75,20,95,100,60,70,90,90
97,thematic,75,35,80,55,50,70,90,70,85,40,60,5,80,10,70,65,65,20,10,85,95
98,thematic,90,95,85,70,90,80,95,80,95,85,95,80,100,85,90,100,90,80,70,95,95
99,thematic,60,90,80,60,70,30,100,80,60,70,40,0,60,50,100,90,60,10,30,100,70
