"Judgment Condition","Statistic","Coefficient","SE","df","t","p"
"Associative","Intercept","0.592995486944303","0.00969770977736202","6244","61.1479927279912","0"
"Associative","Z Direct Association","0.304899943208517","0.0122173091361162","6244","24.9563909541412","4.058654078598e-131"
"Associative","Z Indirect Association","0.0559668823696112","0.0146184267812816","6244","3.82851610552751","0.000130179393057808"
"Associative","Z Interaction","0.0809009273993941","0.0781852186360274","6244","1.03473429902408","0.300833085831512"
"Associative","Z Direct Association Low","0.288596509648052","0.0203119865456159","6244","14.2081873183567","4.09077340254878e-45"
"Associative","Z Direct Association High","0.321203376768983","0.0195566178483993","6244","16.4242804793198","2.22370032328161e-59"
"Semantic","Intercept","0.643022483422385","0.00872445743410612","6232","73.7034352312439","0"
"Semantic","Z Direct Association","0.304619006409637","0.0127315541125737","6232","23.9263018258545","4.11013897424668e-121"
"Semantic","Z Indirect Association","0.242211836783261","0.0150755915393591","6232","16.0664897394506","6.02903924958766e-57"
"Semantic","Z Interaction","-0.406880021004727","0.0838522123611622","6232","-4.85234687967734","1.24977498658065e-06"
"Semantic","Z Direct Association Low","0.386614869779443","0.0210048379269362","6232","18.4059915684308","1.0276662338161e-73"
"Semantic","Z Direct Association High","0.222623143039835","0.0213091330068948","6232","10.4473111584504","2.43855160602864e-25"
"Thematic","Intercept","0.696214587926247","0.0084848444862474","6299","82.0539008174754","0"
"Thematic","Z Direct Association","0.255225199873008","0.011816018337752","6299","21.5999326149966","7.02941947265605e-100"
"Thematic","Z Indirect Association","0.138064477636718","0.0146401624895464","6299","9.43052904879308","5.60761348830085e-21"
"Thematic","Z Interaction","-0.22436345350447","0.0781822475532784","6299","-2.869749342414","0.00412164915579357"
"Thematic","Z Direct Association Low","0.300439695864486","0.0200509185313111","6299","14.9838370444389","6.72728092236338e-50"
"Thematic","Z Direct Association High","0.210010703881529","0.0193306058877721","6299","10.8641552727727","2.97618831825538e-27"
