"Judgment Condition","Statistic","Coefficient","SE","t","p"
"Associative","Intercept","0.456909585552272","0.104594615955825","4.36838532630825","1.25168510412443e-05"
"Associative","Judged Value","0.0642824229363687","0.120574782622526","0.533133226850695","0.593941359852121"
"Associative","Z Direct Association","1.61550305282899","0.138939592607233","11.6273772113024","2.99148243076822e-31"
"Associative","Z Indirect Association","0.829049637539006","0.153356055666961","5.40604434518994","6.44318504628477e-08"
"Associative","Z Interaction","-0.729457143543249","0.835023698690113","-0.873576575955313","0.382348887213755"
"Associative","Z Direct Association Low","1.76250576608101","0.221570889090453","7.95459084591881","1.79724456774124e-15"
"Associative","Z Direct Association High","1.4685003263284","0.214823088486288","6.83585892315356","8.15151331158839e-12"
"Semantic","Intercept","0.565069408205233","0.10756831178076","5.25312147091169","1.49542837849905e-07"
"Semantic","Judged Value","0.135871152520385","0.11831263904006","1.14840775780836","0.25080027260655"
"Semantic","Z Direct Association","1.57935959296781","0.143423413649586","11.0118672591808","3.34987915787615e-28"
"Semantic","Z Indirect Association","0.0780331068746696","0.153197906373461","0.509361444434122","0.610498896274693"
"Semantic","Z Interaction","-2.51692580767635","0.867426888332556","-2.90159994061817","0.00371262333212501"
"Semantic","Z Direct Association Low","2.08657915155134","0.233252820228933","8.94556880171223","3.70039068996306e-19"
"Semantic","Z Direct Association High","1.07214002569055","0.218743103683164","4.90136606657769","9.51725242087832e-07"
"Thematic","Intercept","0.515726790823938","0.113679690518194","4.53666603483053","5.71504988762368e-06"
"Thematic","Judged Value","0.0106139896255515","0.122164668801789","0.0868826456098583","0.930764794147661"
"Thematic","Z Direct Association","1.75803101740623","0.136267445978312","12.9013280082026","4.4240669561999e-38"
"Thematic","Z Indirect Association","0.0138374346334096","0.151827287549887","0.0911393126802913","0.927381895610433"
"Thematic","Z Interaction","-1.70209730428365","0.838306771417","-2.03039908816026","0.0423159892797233"
"Thematic","Z Direct Association Low","2.10104352920272","0.226441477124159","9.27852774980222","1.71836428898486e-20"
"Thematic","Z Direct Association High","1.4150184682082","0.207225245045087","6.828407744917","8.58622570803632e-12"
